id	tok	eng	cmn
6963	ona li tenpo sike lili ala.	She is not young.	
6964	ona li ken ala pali e ni.	She isn't adequate to the task.	
6965	ona li toki musi ala.	She isn't joking.	
6966	ona li jo e mani pi lili ala.	She isn't poor.	
6967	ona li tenpo sike lili ala.	She isn't young.	
6968	tenpo tu la ona li sike e suno. taso ona li ken nanpa tawa nanpa ale.	She is only two years old, but she already knows how to count to one hundred.	
6969	ona li musi kepeken ilo musi pi jan lili.	She is playing with a doll.	
6970	ona li lukin e lipu pi kama sona.	She is reading a textbook.	
6971	ona meli li jo e mani mute. taso ona mije li jo e mani mute mute.	She is rich, but he is twice as rich.	
6972	ona li pilin ike.	She is sick.	
6973	ona li lon supa.	She is sitting.	
6974	ona li wawa.	She is strong.	
6975	ona li tawa lon telo.	She is swimming.	
6976	mi lili lon poka ona.	She is taller than me.	
6977	ona li sona mute.	She is very bright.	
6978	ona li jo e sijelo pi pona mute.	She is very healthy.	
6979	meli li jo e sona mute. meli li wile sona mute.	She is very smart, and what is more, she studies hard.	
6980	ona li telo e kasi kule.	She is watering the flowers.	
6981	len li lon lawa ona.	She is wearing a hat.	
6982	ona li jo e lon lawa.	She is wearing a hat.	
6983	tenpo ni la, ona li lon pona.	She is well off now.	
6984	ona li sona mute. mi sona lili.	She is wiser than I am.	
6985	ona li wile musi taso.	She just wants to have fun.	
6986	meli ni li utala e lupa kepeken noka anpa.	She kicked the door.	
6987	ona li noka e lupa.	She kicked the door.	
6988	ona li sona. tenpo ali la, ona li sona.	She knows. She always knows.	
6989	meli ni li pana e kon tawa sona pi jan ali.	She let the secret out.	
6990	ona li jo e tomo pi suli mute.	She lives in a huge house.	
6991	ona li lon poka suli mute.	She lives in Bumfuck.	
6992	tomo ona li lon ma tomo Kijoto.	She lives in Kyoto.	
6993	ona li lon ma jaki pi ma ale.	She lives in the asshole of the world.	
6994	tomo ona li lon ma tomo Jokowama.	She lives in Yokohama.	
6995	ona li lon poka suli mute.	She lives very far away.	
6996	meli li sama kin e mama meli ona.	She looks just like her mother.	
6997	ona li olin e jan lili pi jan lili ona.	She loved her grandkids.	
6998	ona li pali e moku. ni li pona tawa ona.	She loves cooking.	
6999	ona li olin e jan lili ona.	She loves her children.	
7000	ona li olin e mi. taso mi olin ala e ona.	She loves me. But I do not love her.	
7001	ona li pali e moku. ni li pona tawa ona.	She loves to cook.	
7002	ni li pona tawa ona: ona li kama jo e kala.	She loves to fish.	
7003	ona li pali e moku pona tawa ona.	She made him a simple dinner.	
7004	meli li kama jo e mani Tola mute.	She made thirty thousand dollars.	
7005	ken la ona li kama.	She may come.	
7006	meli ni li lukin e mi, li toki e ni: mi meli sama mi.	She mistook me for my sister.	
7007	ona li tawa e len mi.	She moved my clothes.	
7008	meli li lukin e ni: pipi Papilon li tawa lon kon.	She observed how butterflies fly.	
7009	meli li open e tomo esun sin.	She opened a new store.	
7010	meli ni li moli lon sinpin pi tenpo pimeja pini.	She passed away yesterday afternoon.	
7011	meli ni li utala e selo pi meli sama ona kepeken palisa luka.	She pinched her sister.	
7012	ona li pana e telo Kape lon poki. ni lon supa.	She poured coffee into the cups on the table.	
7013	ona li tawa wawa tawa sewi supa.	She quickly went up the stairs.	
7014	ona li tawa wawa tawa sewi supa.	She ran up the stairs.	
7015	ona li wile ala e mani ni.	She refused to accept the money.	
7016	meli ni li wile ala kama jo e mani.	She refused to take the money.	
7017	ona li weka e len tan sijelo.	She removed her shirt.	
7018	meli ni li olin e meli sama ona.	She respected her sister.	
7019	ona li jan pona tawa mi. ni li ali.	She's a friend, that's all.	
7020	ona li meli pona lukin.	She's a good-looking woman.	
7021	tenpo ali la ona li pilin pona li musi uta.	She's always happy and smiling.	
7022	ona li jan pi toki Epelanto.	She's an Esperantist.	
7023	meli ni li lili, li jo e lawa wawa.	She's an intelligent young woman.	
7024	ona li pana e sona.	She's a professor.	
7025	ona li moku ala e soweli.	She's a vegetarian.	
7026	meli li lukin e ni: mije li kipisi e palisa kasi.	She saw him saw the branch.	
7027	meli ni li pona lukin mute, li jo e lawa wawa.	She's beautiful and intelligent.	
7028	meli li pona lukin li jo mute... taso mi olin ala e ona.	She's beautiful, and rich... and I hate her.	
7029	meli ni li kepeken len ni, la ona li pona lukin. ona li kepeken len ante, la ona li pona lukin kin.	She's beautiful regardless what she wears.	
7030	ona li meli tan ma Sonko.	She's Chinese.	
7031	ona li tawa musi poka mije sin.	She's dancing with another man.	
7032	mi lukin e meli ni poka meli sama ona, la mi toki e ni: meli ni li lili.	She seems short beside her sister.	
7033	ona li kama jo e kala.	She's going fishing.	
7034	ona li moku e telo walo pi soweli Kawa.	She's going to drink some milk.	
7035	tenpo lili la ni li kama pona tawa ona.	She's going to get used to it quickly.	
7036	ona li toki wawa.	She shrieked.	
7037	ona li lon ma tomo Pasen.	She's in Boston.	
7038	ona li lon ma kasi.	She's in the forest.	
7039	ona li lon ma pi kasi suli.	She's in the forest.	
7040	ona li lon ma kasi.	She's in the garden.	
7041	ona li lon ma kasi tomo.	She's in the garden.	
7042	ona li lape lon tomo tawa.	She sleeps in the car.	
7043	ona li meli sama mi, li suli. mi lili.	She's my older sister.	
7044	ona li meli sama mi.	She's my sister.	
7045	ona meli li suli lili. ona mije li suli mute.	She's not as tall as he is.	
7046	meli li jan ala.	She's not human.	
7047	ona li pana e tomo tawa tawa ona.	She sold him her car.	
7048	ona li ken kepeken e toki Inli e toki Kanse kin.	She speaks not only English but also French.	
7049	ona li toki lon toki pi ma mute.	She speaks the languages of many countries.	
7050	ona li pana e telo moli lon kasi kule.	She sprayed pesticide on the flowers.	
7051	ona li jo e jan lili lon insa.	She's pregnant.	
7052	ona li kama sona e toki Sonko.	She's studying Chinese.	
7053	ona li moku e ilo lili pi jan lili ala.	She's taking birth control pills.	
7054	oko ona li telo. oko mi kin li telo.	She started crying and I started crying too.	
7055	ona li kama pana e telo oko, la mi kin li kama pana e telo oko.	She started crying and I started crying too.	
7056	meli ni li open e sitelen pi lipu olin.	She started writing novels.	
7057	ona li meli tan ma Tawi.	She's Thai.	
7058	meli ni li olin pi ale mi.	She's the love of my life.	
7059	ona li meli pona lukin mute. meli ante li pona lukin lili.	She's the most beautiful woman.	
7060	ona li meli sama pi jan Ton.	She's Tom's sister.	
7061	meli li awen poka kin mije.	She stood very close to him.	
7062	ona li meli tan ma Ukawina.	She's Ukrainian.	
7063	meli li pona lukin mute.	She's very beautiful.	
7064	len li lon lawa ona.	She's wearing a hat.	
7065	ona li jo e lon lawa.	She's wearing a hat.	
7066	ona li toki mute.	She talks a lot.	
7067	ona li pana e pilin ike tawa ona.	She terrified him.	
7068	ona li tawa e kiwen lili lon sewi.	She threw the pebble.	
7069	ona meli li toki e ali tawa ona mije.	She told him everything.	
7070	meli li toki tawa jan Toni.	She told Tony.	
7071	ona li lukin moli e ona sama lon tenpo mute.	She tried to kill herself many times.	
7072	ona li wile kama jo e lipu lon esun.	She wanted to buy the book.	
7073	ona li wile e len lawa sin.	She wants a new hat.	
7074	ona meli li wile e jan lili. taso ona mije li wile ala.	She wants children, but he doesn't.	
7075	meli ni li olin e mije ni.	She wants him.	
7076	ona li wile tawa musi.	She wants to dance.	
7077	ona li wile awen e ali tawa ona.	She wants to keep everything for herself.	
7078	tomo tawa li ken pakala li pakala ala e ona.	She was almost run over by a car.	
7079	ona li poka ni: ona li moli sama.	She was on the verge of killing herself.	
7080	ona li wan mute e kili.	She was right in the middle of cutting cucumbers.	
7081	ona li pana e ko sin walo lon soweli.	She was salting the meat.	
7082	jan li moli e ona kepeken ilo utala.	She was shot in her sleep.	
7083	ona li lape, la jan li utala li moli e ona.	She was shot in her sleep.	
7084	ona taso li meli.	She was the only woman.	
7085	tenpo pini la len lawa nasa li lon lawa ona.	She was wearing a strange hat.	
7086	ona li kepeken len walo.	She was wearing a white T-shirt.	
7087	meli li lukin e ni: mije li tawa musi.	She watched him dance.	
7088	tenpo pini la meli li lukin e ni: mije li tawa musi.	She watched him dance.	
7089	ona li weka e kasi ike lon ma kasi.	She weeded the garden.	
7090	ona li weka e kasi ike lon ma kasi tomo.	She weeded the garden.	
7091	ona li pini e pali li tawa weka.	She went out when she finished her work.	
7092	ona li wile pali e moku tawa jan ali.	She will have to cook for everyone.	
7093	meli li pana e mani mute mute luka luka. ona li pana ala e mani sin.	She will pay 50 dollars at most.	
7094	len lawa pi pona lukin li lon lawa ona.	She wore a pretty hat.	
7095	ona li pali mute: ona li jan sona pi tomo sona li pali lon tomo pi telo nasa.	She works a lot: she teaches at a school and also has a job in a bar.	
7096	ona li sitelen tawa mi li toki e ni: tenpo lili li pini la mi kama.	She wrote to me to come at once.	
7097	tenpo luka tu wan la mije sama pi jan Sinko li sike e suno.	Shinko's brother is eight.	
7098	akesi!	Shit!	
7099	pakala li kama.	Shit happens.	
7100	jaki!	Shit!	
7101	o jaki.	Shit.	
7102	pakala!	Shit!	
7103	jan Sisuko li sitelen e toki musi pi ante pi wan pi sike suno.	Shizuko composed a poem about the change of the seasons.	
7104	tenpo lili la jan lawa pi ma Tuki li toki e ni: o len taso e len pi ma Elopa! sina len ala la sina moli! tenpo pi nanpa tu la jan pi ma Tuki li toki e sama tawa jan pi sona sewi. tenpo ni la jan ali li pilin e ni: ona li toki e lon!	Shortly thereafter, a Turkish dictator decided that all his people must dress in the European way. Anyone who disobeyed would be put to death. Then the Turk spoke to astronomers about his discovery again. And this time they all believed he was telling the truth.	
7105	mi wile ala wile tawa poka sina?	Should I come with you?	
7106	mi wile ala wile seli e telo Kape?	Should I prepare the coffee?	
7107	mi tu wan o moku ala moku?	Should the three of us eat something?	
7108	mi tu wan o moku e ijo anu seme?	Should the three of us eat something?	
7109	o pana lukin. o toki ala.	Show, don't tell.	
7110	o pana e wan sama ante tawa lukin mi.	Show me another example.	
7111	mi wile lukin e lipu sina pi tawa ma ante.	Show me your passport.	
7112	o lukin e ilo tenpo lon luka sina tawa mi.	Show me your watch.	
7113	o ken e ni: jan Ton li lukin e luka sina.	Show Tom your hands.	
7114	mi weka la jan Sun li pali e pali mi.	Shun will take over my job while I'm away.	
7115	tenpo pi mi weka la, jan Sun li pali e pali mi.	Shun will take over my job while I'm away.	
7116	o toki ala. anu mi tawa weka e sina.	Shut up, or I'll kick you out.	
7117	o pini e lukin sina.	Shut your eyes.	
7118	o sitelen e nimi sina lon ni.	Sign this.	
7119	toki ala li toki e ni: wile!	Silence gives consent.	
7120	telo pi tawa ala li jo e noka pi anpa suli.	Silent waters run deep.	
7121	ona li wan tan ni: mije ona li moli.	Since her husband's death, she has been living alone.	
7122	ona meli li tawa weka, la ona mije li pana ala e sinpin lawa ona pi pilin pona.	Since she left he has lost his smile.	
7123	sina o kalama musi poka mi.	Sing a song with me.	
7124	o kalama musi lon poka mi.	Sing with me.	
7125	o kalama musi poka mi.	Sing with me.	
7126	o kalama musi uta poka mi.	Sing with me.	
7127	jan sama mute li wile ala utala toki.	Sisters should not quarrel.	
7128	jan sama mute o utala toki ala.	Sisters should not quarrel.	
7129	mije mute li moli anu pakala.	Six hundred thousand men were killed or wounded.	
7130	ijo Kopije li ma tomo lawa pi ma Maketonija.	Skopje is the capital of Macedonia.	
7131	o lape.	Sleep.	
7132	jan li kama sona la ona li kama pilin e ni: jan sewi li ala. taso jan li kama sona sin la ona li kama sona e ni: jan sewi li lon kin.	Small amounts of philosophy lead to atheism, but larger amounts bring us back to God.	
7133	jan li musi uta. taso ken la ona li pilin ike.	Smiles do not always indicate pleasure.	
7134	kon pimeja seli li lon.	Smoke appeared.	
7135	moku pi kon nasa seli li moli.	Smoking kills.	
7136	moku e kon nasa seli li kon ike.	Smoking stinks.	
7137	akesi linja li ike tawa mi.	Snakes are animals I don't like in the least.	
7138	tenpo ale la kulupu jan li ante e ona.	Society is always changing.	
7139	jaki kin!	So disgusting!	
7140	mi sama.	So do I.	
7141	ijo Sopija li ma tomo lawa pi ma Pokasi.	Sofia is the capital of Bulgaria.	
7142	sina tawa la mi kama lukin e sina.	So I'll come see you off.	
7143	jan li moku.	Somebody is eating.	
7144	jan li kalama musi.	Somebody laughed.	
7145	jan li pana e jaki tawa ona.	Somebody poisoned them.	
7146	jan li kama.	Somebody's coming.	
7147	tenpo kama la, jan li kama moli.	Somebody's going to die.	
7148	jan li lon insa tomo.	Somebody's inside the house.	
7149	jan li pakala.	Somebody's made a mistake.	
7150	tenpo pini la jan li wile mute moli e mi.	Somebody tried to kill me.	
7151	kasi kule mute li lon tenpo pi kasi kule. kasi kule ante li lon tenpo Waton.	Some flowers bloom in spring and others in autumn.	
7152	jan Pusu Wilisu li alasa e soweli Lajon. soweli ni li suli li wawa. taso ona li utala ike ala.	Some lion Bruce Willis is chasing is a formidable animal, but is not ferocious.	
7153	nanpa ijo pi kili mute ni li ike.	Some of these apples are bad.	
7154	tenpo lili pini la jan lon tomo lape mi.	Someone has been in my room.	
7155	jan li tawa li jo e ilo sitelen mi a!	Someone has walked off with my pencil.	
7156	jan li utala e lupa!	Someone is battering at the door.	
7157	jan li kalama musi uta.	Someone is singing.	
7158	jan li moli e jan Ton lon ma tomo Pasen.	Someone killed Tom in Boston.	
7159	ken la, jan li kama pakala.	Someone might get hurt.	
7160	selo la jan li selo ala e lupa tomo.	Someone must have left the door open.	
7161	jan li kama jo ike e mani ona.	Someone stole her money.	
7162	jan li kama jo e mani mi.	Someone stole my money.	
7163	jan li toki tawa mi e ni: sina weka e mije sina.	Someone told me you left your husband.	
7164	tenpo pini la jan li wile mute moli e jan Ton.	Someone tried to kill Tom.	
7165	jan mute li jo e ilo sona. jan ante li jo ala e ilo sona.	Some people don't own computers.	
7166	jan mute li jo e nasa pona ale.	Some people have all the luck.	
7167	jan mute li toki e ni: toki Epelanto li sama nasin sewi nasa. taso tenpo kama la jan Sameno li kama sin li utala e ona mute tan pali ike ni.	Some people have compared Esperantism to a cult, but soon there will come a time when Zamenhof returns and punishes them for this sacrilege.	
7168	jan mute li toki e ni: toki Epelanto li sama nasin sewi nasa. taso tenpo kama la jan Sameno li kama sin li utala e ona mute tan pali ike ni.	Some people have likened Esperantism to a cult, but soon the time will come when Zamenhof returns and punishes them for this sacrilege.	
7169	jan li toki e ni: jan pali pi nasin lawa li pona ni ala: jan o pana e mani tawa ona.	Some people say the police don't deserve funding.	
7170	tenpo pini la, ijo li kama.	Something has happened.	
7171	ijo li lukin e mi.	Something is watching me.	
7172	jan li wile pali e ijo.	Something must be done.	
7173	lon ni la, ijo li kama. jan li ken ala sona e ni.	Something's happening here, and what it is ain't exactly clear.	
7174	tenpo mute la mi ken ala lawa e mi.	Sometimes I can't help myself.	
7175	tenpo mute la mi toki e ni: sina jo ala jo e lawa wawa?	Sometimes I doubt your intelligence.	
7176	tenpo mute la mi toki e ni: sina jo e lawa wawa anu seme?	Sometimes I doubt your intelligence.	
7177	jan pi mani lili li lili tawa jan pi mani mute.	Sometimes rich people look down on other people who do not have much money.	
7178	tenpo pi nanpa lili la mi mute li pilin ala e ijo.	Sometimes we forget things.	
7179	nasin mama mute li nasa.	Some traditions are dumb.	
7180	nasin mama mute li nasa.	Some traditions are stupid.	
7181	mi pilin ike tan seme nasa.	Sorry for the dumb question.	
7182	ike la, mi sona ala.	Sorry, I don't understand.	
7183	mi pakala.	Sorry...	
7184	o weka e ike mi. ilo tawa ante li utala.	Sorry. Traffic was heavy.	
7185	o toki tawa mi e ni: sina pali e seme?	So tell me what you've been doing.	
7186	sina sona ala sona e ni: toki Epelanto li seme kin?	So you don't know what is Esperanto ?	
7187	sina kama ala kama anpa anu seme?	So you give up, right?	
7188	jan tawa sewi li jan pi nasin sewi.	Space explorers were not without religion.	
7189	toki Epanja li pona.	Spanish is easy.	
7190	jan li toki lon toki Epanja lon ma mute.	Spanish is spoken in twenty countries.	
7191	toki Inli li pona.	Speaking English is useful.	
7192	toki li ike pali.	Speaking is hard.	
7193	toki.	Speaking.	
7194	ni li pona ala: toki kepeken toki pi pona mute.	Speaking too simple a language is not easy.	
7195	o toki a!	Speak!	
7196	toki li kiwen walo. toki ala li kiwen jelo.	Speech is silver, silence is golden.	
7197	toki li pona. toki ala li pona mute.	Speech is silver, silence is golden.	
7198	nasin pi tawa wawa li ale ala.	Speed isn't everything.	
7199	o awen lon poka mi lon tenpo pi suli wan.	Spend some time with me.	
7200	pipi li wile pali e len alasa.	Spiders like to build spiderwebs.	
7201	pipi li pali e len alasa.	Spiders spin webs.	
7202	tenpo pi kasi kule li kama e tenpo seli e kasi pi pona lukin.	Spring brings warm days and beautiful flowers.	
7203	o awen weka o awen open.	Stand back and stand by.	
7204	o awen lon tomo.	Stay home.	
7205	meli en mije o awen poka mi.	Stay with me, ladies and gentlemen.	
7206	jan Ton o, awen poki mi.	Stay with me, Tom.	
7207	o tawa poka nasin. sina sinpin tawa ona.	Step aside. You're blocking the way.	
7208	o tawa weka e tomo tawa o pana e luka lon lawa sina.	Step away from the car and put your hands on your head.	
7209	jan Tepan li jan pi ma Tosi. toki Tosi li toki mama ona. ona li sona pi pona ale e toki ante ni: toki Italija en toki Epelanto en toki pona.	Stephan is German. German is his mother tongue. He knows perfectly other languages, such as Italian, Esperanto and Toki Pona.	
7210	jan Tepan li jan Tosi. toki Tosi li toki mama ona. ona li ken kepeken kin pi pona ali e toki Italija e toki Epelanto e toki pona.	Stephan is German. German is his mother tongue. He knows perfectly other languages, such as Italian, Esperanto and Toki Pona.	
7211	jan li pali e open tawa.	Step one is done.	
7212	len pi tawa ala li pimeja e ijo mute.	Still waters run deep.	
7213	telo pi tawa ala li telo suli.	Still waters run deep.	
7214	ijo Sokome li ma tomo lawa pi ma Wensa.	Stockholm is the capital of Sweden.	
7215	o pini pali sama jan lili pakala.	Stop acting like a spoiled child.	
7216	o pini e kalama lon lupa tomo a!	Stop beating on the door!	
7217	o pini e suwi a sina!	Stop being so cute!	
7218	o tawa esun kasi, o kama jo e kasi loje.	Stop by the florist's to buy some roses.	
7219	o pini lukin e sitelen lawa.	Stop dreaming.	
7220	o pini. mi wile ala pali e ni.	Stop. I don't want to do this.	
7221	o pini e kalama musi ni.	Stop singing.	
7222	o toki ala.	Stop talking.	
7223	sina o awen ala toki.	Stop talking, please.	
7224	o pini e meli ni.	Stop that woman.	
7225	o pini e tawa pi linja tomo tawa.	Stop the train.	
7226	o pini e tawa pi jan Ton.	Stop Tom.	
7227	o pini kepeken ijo mi!	Stop using my stuff!	
7228	o pini e kalama wawa sina!	Stop yelling!	
7229	ni li nasa.	Strange.	
7230	jan mute li wan la ona li kama wawa.	Strength in unity.	
7231	lon la ma li sike ala.	Strictly speaking, the earth is not round.	
7232	tenpo ali la jan mute pi kama sona li lon tomo moku ni.	Students are always in this dining room.	
7233	sina kama sona e toki mute lon tenpo wan, la ken pali sina li wile suli.	Studying various languages simultaneously requires dedication.	
7234	ijo nasa!	Stupid thing!	
7235	nimi ni li pakala e mi.	Such words hurt me.	
7236	pali ni li ike e pilin jan.	Such work tempers a man's character.	
7237	o unpa uta e palisa mi.	Suck my dick.	
7238	jan li pilin e lon pi ijo sewi, li toki ala. ni li nasin sewi pi lawa wawa lili.	Superstition is the religion of feeble minds.	
7239	o pana tawa ilo Tatowepa.	Support Tatoeba!	
7240	jan Susan li kute e kalama musi. ni li pona tawa ona.	Susan enjoys listening to music.	
7241	len pi jan Susan li jaki.	Susan’s clothes are dirty.	
7242	ma Wensa li jo e toki ona.	Sweden has a language of its own.	
7243	lon la suwi pi ma Suwasi li kama ko lon uta.	Swiss chocolate really melts in your mouth.	
7244	jan Tatasi li jo e toki ko.	Tadashi has a soft voice.	
7245	akesi lili telo li kama akesi pi noka wawa.	Tadpoles become frogs.	
7246	o tawa kepeken tomo tawa pi jan mute.	Take a bus.	
7247	o pana e pona tawa ma.	Take care of our planet.	
7248	o lukin tawa sina.	Take good care of yourself.	
7249	o weka e len sina.	Take off your clothes.	
7250	o weka e len lawa tan lawa sina.	Take off your hat.	
7251	o tawa lon nasin nanpa wan pi luka wawa.	Take the next right.	
7252	o tawa lon nasin pi luka wawa.	Take the road on the right.	
7253	o lawa e mije ni tawa tomo pali mi.	Take this gentleman to my office.	
7254	o jo e ona.	Take this.	
7255	o kama jo e lipu sina. o pana ona lon tomo sina.	Take your books and put them in your room.	
7256	o weka e luka sina tan anpa lawa mi.	Take your hands off my neck.	
7257	jan Takuja li toki e ni tawa mi: o tawa weka o awen ala!	Takuya told me to depart immediately.	
7258	sina wile toki tawa mi la o toki.	Talk to me if you want.	
7259	o toki tawa jan.	Talk to somebody.	
7260	kon pi wawa mute li ken tawa lili e tomo suli.	Tall buildings may sway in a strong wind.	
7261	ilo suno pi kama pimeja li pona ala li ike e sina li pakala e selo sina.	Tanning beds are dangerous and can cause cancer.	
7262	jan Talo li sona e toki Inli anu seme?	Taro speaks English, doesn't he?	
7263	tenpo suno tu wan la jan Talo li lon ma tomo Tokijo.	Taro stayed in Tokyo for three days.	
7264	"tomo pali Tatowepa li jo ala e ilo ""o pini pali""."	"Tatoeba has no ""Log Out"" button."	
7265	tenpo ni la sina ken ala lukin e lipu Tatojepa. ni li pakala ike pi mi mute. sina wile e sona namako la o tawa lipu pi mi mute anu lipu Tuwite.	Tatoeba is currently unavailable. We are sorry for the inconvenience. You can check our blog or Twitter for more information.	
7266	jan Tatowepa li nimi pi meli olin sina anu seme?	Tatoeba. Is that the name of your new girlfriend?	
7267	telo li kama tan sike lukin ona.	Tears spilled from her eyes.	
7268	o toki e ni tawa ona: mi pali.	Tell him I'm busy.	
7269	o toki e ni tawa ona: mi tawa.	Tell him I'm on my way.	
7270	o toki e ni tawa ona lon tenpo pi kama sin ona.	Tell him so, when he comes back.	
7271	o toki tawa mi. seme li lon?	Tell me about the incident.	
7272	o toki e ni tawa mi: kepeken seme la mi ken pona e nasa.	Tell me how to solve the problem.	
7273	o toki tawa mi e ni: nasin seme la sina pilin e sama?	Tell me how you feel.	
7274	o toki e toki musi tawa mi. taso o toki ala e toki musi jaki.	Tell me some jokes, but don't tell me dirty ones.	
7275	o toki tawa mi e ni: mi wile pali e ona.	Tell me what I need to do.	
7276	o toki e nimi pi sina mute tawa mi.	Tell me your names.	
7277	o toki tawa ona mute e ni: mi pilin ike.	Tell them that I'm sorry.	
7278	o toki e ni tawa jan Ton: noka mi li pakala.	Tell Tom I have a broken leg.	
7279	o toki e ni tawa jan Ton: mi olin e ona.	Tell Tom I love him.	
7280	o toki tawa jan Ton.	Tell Tom.	
7281	o toki tawa jan Ton: pona!	Tell Tom thanks.	
7282	o toki e ni tawa jan Ton: mi mute li wile ala tawa.	Tell Tom we don't want to go.	
7283	o toki e tan tawa jan Ton.	Tell Tom why.	
7284	o toki e toki pi jan kon tawa mi mute.	Tell us a ghost story.	
7285	o toki tawa mi e ni: jan Ton li lon seme?	Tell us where Tom is.	
7286	o toki e lipu ilo Tatoepa tawa jan pona sina.	Tell your friends about Tatoeba.	
7287	o toki tawa mama meli sina e tawa sina.	Tell your mother about the trip.	
7288	musi Teniso li open lon ma Kanse lon tenpo Sekulo nanpa luka luka tu wan.	Tennis began in France in the thirteenth century.	
7289	tenpo sike luka luka li kama pini.	Ten years have gone by.	
7290	pona a!	Terrific!	
7291	pona mute a!	Terrific!	
7292	lon pi jan Tela li jo e nasin pimeja mute.	Tesla's life's full of mystery.	
7293	o pona tawa sewi tan ni: sina kama sin.	Thank heavens you're back.	
7294	pona sin.	Thanks again.	
7295	pona mute.	Thanks a lot!	
7296	jan pi pana sona o pona!	Thanks a lot, teacher!	
7297	sina ali o, pona.	Thanks, everyone.	
7298	pona tan ni: sina toki kepeken ilo toki tawa mi.	Thanks for calling.	
7299	pona tan ale.	Thanks for everything.	
7300	pona tan ni: sina lon.	Thanks for existing.	
7301	sina pana e sona tawa mi. pona!	Thanks for explaining this to me.	
7302	sina tawa e mi lon tomo tawa sina. pona!	Thanks for giving me a lift.	
7303	pona tan ni: sina pana e pona.	Thanks for helping.	
7304	sina awen e jan lili. pona!	Thanks for taking care of the kids.	
7305	pona tan ijo ni.	Thanks for that.	
7306	o pona tawa sina tan moku.	Thanks for the food.	
7307	pona tan ni: sina awen.	Thanks for waiting.	
7308	pona!	Thanks!	
7309	sina tu o, pona!	Thanks to both of you.	
7310	tan sina la mi kama sona e ale.	Thanks to you, I am going to understand everything.	
7311	mi kama sona mute tan sina.	Thanks to you I've learnt a lot.	
7312	sina ali li lon ni. pona!	Thank you all for being here.	
7313	jan pi pona sijelo o, pona.	Thank you, Doctor.	
7314	jan Jesin o, pona.	Thank you, Einstein.	
7315	pona tan ni: sina toki e wile sona sina.	Thank you for asking.	
7316	sina alasa e pipi Papilon tawa mi. pona!	Thank you for catching me a butterfly.	
7317	pona tan ni: sina kama lukin e mi.	Thank you for coming to see me.	
7318	pona tan ni: sina lukin.	Thank you for trying.	
7319	pona! mi sona e ale.	Thank you, I understand everything.	
7320	jan Isa o, pona!	Thank you, Jesus.	
7321	sina sin o, pona.	Thank you, too.	
7322	kili li suli.	That apple is big.	
7323	jan ike ni li jo e len nasa.	That bad person has strange clothes.	
7324	poki pimeja ni li sina anu seme?	That black bag is yours?	
7325	lipu sona ni li mi.	That book is mine.	
7326	lipu sona ni li ijo pi tenpo suli mute.	That book is very old.	
7327	mije lili ni li jan sama pi mije ni.	That boy is his brother.	
7328	nasin lili sewi ni li suli ala.	That bridge isn't long.	
7329	tomo tawa ni li sinpin tawa nasin pi ilo tawa.	That car is blocking traffic.	
7330	telo ni pi lape ala li pana e kon pona.	That coffee smells good.	
7331	esun ni li pana e pali tawa jan mute. ona li wile ala sona e kulupu jan anu nasin sewi anu ma pi jan mute ni.	That company hires people without regard to race, religion, or nationality.	
7332	ni li ante e ijo ala.	That doesn't change anything.	
7333	seme anu ni li pana a e pona tawa mi?	That doesn't really help us, does it?	
7334	ona li pona ala.	That doesn't work well.	
7335	soweli ni li suli.	That dog is big.	
7336	soweli Kane ni li jo e kon ike!	That dog stinks!	
7337	waso wawa ni li pona lukin.	That eagle is beautiful.	
7338	kala ni li lon telo pi jaki ala.	That fish lives in fresh water.	
7339	jan mute li olin e jan ni pi kalama pona sin ala	That folk singer is very popular with people in general.	
7340	mije pi linja walo pimeja ni li mama pi jan Ton.	That gray-haired man is Tom's father.	
7341	tenpo mute la ijo ni li kama poka mi.	That has happened to me several times.	
7342	ona li jo e tomo ni.	That house belongs to him.	
7343	nimi pi soweli suli mute ni li soweli Elepanto.	That huge mammal is called an elephant.	
7344	ona li ken pali e ni taso.	That is all he's capable of doing.	
7345	ni li ali.	That is all.	
7346	ni li tomo Pakota.	That is a pagoda.	
7347	ni li ike tawa mi.	That is bad to me.	
7348	ni li ijo mi.	That is mine.	
7349	ni li ilo sitelen kepeken suno. meli sama mi li lawa e ijo ni.	That is my sister's camera.	
7350	ni li ken ala.	That is not possible.	
7351	tenpo ala la mi kepeken nimi ni.	That isn't a word I'd ever use.	
7352	ni li suli pi mute ala tawa mi.	That isn't very important to me.	
7353	mi toki e ijo. taso mi toki ala e ni.	That isn't what I'm saying.	
7354	ni li ijo pi mani mute.	That is very expensive.	
7355	ni en telo sijelo loje li sama.	That looks like blood.	
7356	tan ni la mi pilin ike kin.	That makes me really sad.	
7357	sina pilin pona tan ni, anu seme?	That makes you happy, doesn't it?	
7358	ken la ni li musi.	That must be fun.	
7359	jan lili ni li ike li wile e pakala.	That naughty child needs a good beating.	
7360	jan ni li sama mi.	That person is like me.	
7361	jan li ken ala sitelen e linja nimi ni kepeken toki pona. jan pi tomo kiwen li sona ala a e kon ona.	That phrase is absolutely untranslatable into Toki Pona. A caveman would have no idea what it means.	
7362	meli ni li pona lukin, li jan sama mi.	That pretty girl is my sister.	
7363	len loje li lukin pona lon sina.	That red sweater looks good on you.	
7364	ni li mije lili.	That's a boy.	
